id	rate
13303	0.075
13305	0.049
13307	0.061
13309	0.062
13311	0.059
13313	0.117
13315	0.084
13317	0.117
13319	0.062
13321	0.161
15001	0.114
15003	0.232
15007	0.093
15009	0.106
16001	0.091
16003	0.102
16005	0.042
16007	0.116
16009	0.088
16011	0.032
16013	0.126
16015	0.027
16017	0.121
16019	0.097
16021	0.081
16023	0.138
16025	0.153
16027	0.102
16029	0.039
16031	0.046
16033	0.081
16035	0.124
16037	0.104
16039	0.105
16041	0.095
16043	0.089
16045	0.07
16047	0.113
16049	0.109
16051	0.126
16053	0.122
16055	0.073
16057	0.078
16059	0.103
16061	0.071
16063	0.076
16065	0.127
16067	0.059
16069	0.068
16071	0.114
16073	0.101
16075	0.092
16077	0.101
16079	0.053
16081	0.098
16083	0.079
16085	0.073
16087	0.141
17001	0.083
17003	0.102
17005	0.071
17007	0.082
17009	0.119
17011	0.048
17013	0.078
17015	0.065
17017	0.252
17019	0.131
17021	0.107
17023	0.11
17025	0.072
17027	0.111
17029	0.07
17031	0.055
17033	0.112
17035	0.075
17037	0.062
17039	0.068
17041	0.059
17043	0.078
17045	0.115
17047	0.076
17049	0.099
17051	0.065
17053	0.065
17055	0.136
17057	0.115
17059	0.061
17061	0.075
17063	0.112
17065	0.123
17067	0.104
17069	0.164
17071	0.066
17073	0.204
17075	0.111
17077	0.042
17079	0.121
17081	0.052
17083	0.05
17085	0.095
17087	0.124
17089	0.069
17091	0.064
17093	0.111
17095	0.051
17097	0.057
17099	0.108
17101	0.085
17103	0.068
17105	0.094
17107	0.074
17109	0.083
17111	0.08
17113	0.143
17115	0.057
17117	0.058
17119	0.135
17121	0.072
17123	0.109
17125	0.096
17127	0.117
17129	0.113
17131	0.176
17133	0.077
17135	0.087
17137	0.055
17139	0.072
17141	0.066
17143	0.084
17145	0.081
17147	0.165
17149	0.117
17151	0.094
17153	0.049
17155	0.076
17157	0.073
17159	0.047
17161	0.11
17163	0.082
17165	0.109
17167	0.042
17169	0.123
17171	0.089
17173	0.07
17175	0.106
17177	0.089
17179	0.138
17181	0.147
17183	0.087
17185	0.075
17187	0.044
17189	0.088
17191	0.107
17193	0.072
17195	0.083
17197	0.074
17199	0.201
17201	0.101
17203	0.083
18001	0.028
18003	0.08
18005	0.092
18007	0.082
18009	0.063
18011	0.07
18013	0.094
18015	0.025
18017	0.093
18019	0.148
18021	0.114
18023	0.243
18025	0.085
18027	0.071
18029	0.084
18031	0.161
18033	0.038
18035	0.041
18037	0.14
18039	0.059
18041	0.067
18043	0.076
18045	0.04
18047	0.09
18049	0.086
18051	0.051
18053	0.09
18055	0.089
18057	0.175
18059	0.098
18061	0.098
18063	0.114
18065	0.068
18067	0.107
18069	0.077
18071	0.092
18073	0.121
18075	0.129
18077	0.125
18079	0.083
18081	0.188
18083	0.102
18085	0.066
18087	0.039
18089	0.125
18091	0.058
18093	0.073
18095	0.094
18097	0.119
18099	0.14
18101	0.064
18103	0.113
18105	0.163
18107	0.082
18109	0.083
18111	0.065
18113	0.097
18115	0.074
18117	0.099
18119	0.158
18121	0.059
18123	0.163
18125	0.183
18127	0.045
18129	0.056
18131	0.078
18133	0.099
18135	0.087
18137	0.057
18139	0.026
18141	0.142
18143	0.151
18145	0.136
18147	0.054
18149	0.029
18151	0.082
18153	0.104
18155	0.163
18157	0.067
18159	0.082
18161	0.153
18163	0.22
18165	0.104
18167	0.021
18169	0.063
18171	0.129
18173	0.143
18175	0.146
18177	0.119
18179	0.048
18181	0.092
18183	0.102
19001	0.11
19003	0.115
19005	0.102
19007	0.078
19009	0.034
19011	0.104
19013	0.081
19015	0.079
19017	0.117
19019	0.069
19021	0.127
19023	0.114
19025	0.065
19027	0.056
19029	0.107
19031	0.088
19033	0.112
19035	0.092
19037	0.108
19039	0.148
19041	0.056
19043	0.063
19045	0.119
19047	0.097
19049	0.052
19051	0.081
19053	0.077
19055	0.082
19057	0.072
19059	0.059
19061	0.043
19063	0.079
19065	0.164
19067	0.07
19069	0.102
19071	0.077
19073	0.103
19075	0.066
19077	0.086
19079	0.054
19081	0.103
19083	0.107
19085	0.073
19087	0.145
19089	0.085
19091	0.067
19093	0.126
19095	0.108
19097	0.108
19099	0.069
19101	0.091
19103	0.07
19105	0.07
19107	0.107
19109	0.089
19111	0.079
19113	0.109
19115	0.087
19117	0.143
19119	0.147
19121	0.085
19123	0.1
19125	0.091
19127	0.074
19129	0.087
19131	0.1
19133	0.117
19135	0.087
19137	0.061
19139	0.078
19141	0.057
19143	0.063
19145	0.083
19147	0.102
19149	0.126
19151	0.085
19153	0.075
19155	0.056
19157	0.099
19159	0.066
19161	0.043
19163	0.088
19165	0.053
19167	0.036
19169	0.071
19171	0.066
19173	0.061
19175	0.09
19177	0.095
19179	0.079
19181	0.049
19183	0.135
19185	0.215
19187	0.18
19189	0.062
19191	0.068
19193	0.062
19195	0.137
19197	0.074
20001	0.079
20003	0.095
20005	0.022
20007	0.099
20009	0.089
20011	0.102
20013	0.078
20015	0.102
20017	0.097
20019	0.094
20021	0.063
20023	0.084
20025	0.043
20027	0.073
20029	0.139
20031	0.061
20033	0.089
20035	0.055
20037	0.056
20039	0.086
20041	0.078
20043	0.069
20045	0.091
20047	0.063
20049	0.074
20051	0.085
20053	0.074
20055	0.091
20057	0.189
20059	0.093
20061	0.129
20063	0.152
20065	0.085
20067	0.08
20069	0.073
20071	0.135
20073	0.113
20075	0.083
20077	0.058
20079	0.109
20081	0.091
20083	0.102
20085	0.047
20087	0.079
20089	0.168
20091	0.109
20093	0.072
20095	0.084
20097	0.039
20099	0.035
20101	0.124
20103	0.085
20105	0.104
20107	0.086
20109	0.075
20111	0.091
20113	0.103
20115	0.134
20117	0.047
20119	0.127
20121	0.09
20123	0.04
20125	0.099
20127	0.049
20129	0.095
20131	0.108
20133	0.075
20135	0.061
20137	0.14
20139	0.03
20141	0.103
20143	0.124
20145	0.089
20147	0.07
20149	0.105
20151	0.087
20153	0.054
20155	0.091
20157	0.056
20159	0.112
20161	0.075
20163	0.07
20165	0.097
20167	0.036
20169	0.056
20171	0.105
20173	0.083
20175	0.119
20177	0.106
20179	0.085
20181	0.139
20183	0.087
20185	0.029
20187	0.138
20189	0.122
20191	0.077
20193	0.202
20195	0.072
20197	0.094
20199	0.082
20201	0.045
20203	0.09
20205	0.093
20207	0.087
20209	0.08
21001	0.029
21003	0.085
21005	0.042
21007	0.055
21009	0.13
21011	0.073
21013	0.066
21015	0.12
21017	0.129
21019	0.204
21021	0.079
21023	0.111
21025	0.104
21027	0.063
21029	0.106
21031	0.143
21033	0.091
21035	0.101
21037	0.078
21039	0.072
21041	0.043
21043	0.064
21045	0.1
21047	0.067
21049	0.079
21051	0.081
21053	0.096
21055	0.048
21057	0.1
21059	0.09
21061	0.119
21063	0.117
21065	0.102
21067	0.127
21069	0.09
21071	0.079
21073	0.098
21075	0.085
21077	0.123
21079	0.102
21081	0.085
21083	0.103
21085	0.071
21087	0.12
21089	0.126
21091	0.086
21093	0.129
21095	0.12
21097	0.038
21099	0.058
21101	0.1
21103	0.156
21105	0.079
21107	0.107
21109	0.06
21111	0.132
21113	0.063
21115	0.116
21117	0.09
21119	0.078
21121	0.124
21123	0.061
21125	0.084
21127	0.066
21129	0.102
21131	0.03
21133	0.133
21135	0.094
21137	0.086
21139	0.128
21141	0.121
21143	0.108
21145	0.115
21147	0.087
21149	0.055
21151	0.046
21153	0.059
21155	0.051
21157	0.12
21159	0.087
21161	0.13
21163	0.109
21165	0.061
21167	0.107
21169	0.106
21171	0.099
21173	0.056
21175	0.123
21177	0.046
21179	0.072
21181	0.051
21183	0.083
21185	0.091
21187	0.11
21189	0.08
21191	0.067
21193	0.048
21195	0.081
21197	0.065
21199	0.072
21201	0.059
21203	0.08
21205	0.228
21207	0.114
21209	0.1
21211	0.13
21213	0.111
21215	0.086
21217	0.037
21219	0.071
21221	0.116
21223	0.104
21225	0.084
21227	0.057
21229	0.068
21231	0.064
21233	0.121
21235	0.051
21237	0.088
21239	0.04
22001	0.044
22003	0.102
22005	0.113
22007	0.05
22009	0.157
22011	0.102
22013	0.051
22015	0.086
22017	0.198
22019	0.043
22021	0.062
22023	0.073
22025	0.119
22027	0.15
22029	0.084
22031	0.114
22033	0.087
22035	0.059
22037	0.043
22039	0.035
22041	0.1
22043	0.067
22045	0.115
22047	0.042
22049	0.097
22051	0.053
22053	0.043
22055	0.116
22057	0.044
22059	0.1
22061	0.117
22063	0.103
22065	0.071
22067	0.091
22069	0.151
22071	0.085
22073	0.04
22075	0.052
22077	0.127
22079	0.123
22081	0.079
22083	0.118
22085	0.058
22087	0.113
22089	0.078
22091	0.074
22093	0.059
22095	0.046
22097	0.072
22099	0.088
22101	0.055
22103	0.17
22105	0.072
22107	0.141
22109	0.05
22111	0.159
22113	0.12
22115	0.117
22117	0.078
22119	0.073
22121	0.126
22123	0.12
22125	0.111
22127	0.053
23001	0.093
23003	0.13
23005	0.078
23007	0.057
23009	0.105
23011	0.082
23013	0.06
23015	0.133
23017	0.088
23019	0.133
23021	0.053
23023	0.129
23025	0.181
23027	0.081
23029	0.065
23031	0.095
24001	0.052
24003	0.181
24005	0.132
24009	0.069
24011	0.102
24013	0.061
24015	0.122
24017	0.063
24019	0.053
24021	0.071
24023	0.109
24025	0.119
24027	0.07
24029	0.029
24031	0.086
24033	0.109
24035	0.058
24037	0.131
24039	0.098
24041	0.11
24043	0.116
24045	0.071
24047	0.083
24510	0.116
25001	0.091
25003	0.115
25005	0.151
25007	0.078
25009	0.071
25011	0.135
25013	0.124
25015	0.061
25017	0.09
25019	0.144
25021	0.117
25023	0.055
25025	0.157
25027	0.092
26001	0.112
26003	0.073
26005	0.16
26007	0.11
26009	0.032
26011	0.092
26013	0.053
26015	0.115
26017	0.111
26019	0.068
26021	0.078
26023	0.1
26025	0.056
26027	0.091
26029	0.066
26031	0.079
26033	0.071
26035	0.101
26037	0.101
26039	0.149
26041	0.148
26043	0.135
26045	0.055
26047	0.08
26049	0.11
26051	0.056
26053	0.056
26055	0.036
26057	0.076
26059	0.037
26061	0.083
26063	0.041
26065	0.063
26067	0.067
26069	0.06
26071	0.063
26073	0.126
26075	0.109
26077	0.123
26079	0.058
26081	0.094
26083	0.082
26085	0.202
26087	0.128
26089	0.115
26091	0.108
26093	0.09
26095	0.078
26097	0.066
26099	0.103
26101	0.122
26103	0.121
26105	0.066
26107	0.047
26109	0.121
26111	0.036
26113	0.111
26115	0.07
26117	0.092
26119	0.04
26121	0.056
26123	0.129
26125	0.098
26127	0.117
26129	0.134
26131	0.095
26133	0.13
26135	0.137
26137	0.11
26139	0.059
26141	0.129
26143	0.06
26145	0.077
26147	0.044
26149	0.107
26151	0.097
26153	0.095
26155	0.07
26157	0.052
26159	0.129
26161	0.024
26163	0.189
26165	0.04
27001	0.072
27003	0.059
27005	0.121
27007	0.049
27009	0.059
27011	0.034
27013	0.034
27015	0.045
27017	0.073
27019	0.038
27021	0.089
27023	0.098
27025	0.134
27027	0.157
27029	0.134
27031	0.097
27033	0.088
27035	0.071
27037	0.056
27039	0.152
27041	0.074
27043	0.098
27045	0.098
27047	0.111
27049	0.173
27051	0.097
27053	0.111
27055	0.057
27057	0.1
27059	0.131
27061	0.062
27063	0.119
27065	0.077
27067	0.12
27069	0.084
27071	0.063
27073	0.098
27075	0.053
27077	0.094
27079	0.085
27081	0.086
27083	0.152
27085	0.097
27087	0.076
27089	0.08
27091	0.058
27093	0.047
27095	0.257
27097	0.102
27099	0.091
27101	0.071
27103	0.047
27105	0.079
27107	0.09
27109	0.032
27111	0.026
27113	0.137
27115	0.095
27117	0.072
27119	0.099
27121	0.132
27123	0.136
27125	0.063
27127	0.079
27129	0.071
27131	0.096
27133	0.075
27135	0.07
27137	0.099
27139	0.132
27141	0.046
27143	0.075
27145	0.119
27147	0.069
27149	0.093
27151	0.102
27153	0.045
27155	0.074
27157	0.096
27159	0.045
27161	0.236
27163	0.022
27165	0.078
27167	0.065
27169	0.081
27171	0.108
27173	0.102
28001	0.087
28003	0.1
28005	0.053
28007	0.118
28009	0.077
28011	0.051
28013	0.042
28015	0.085
28017	0.05
28019	0.072
28021	0.111
28023	0.111
28025	0.135
28027	0.127
28029	0.076
28031	0.073
28033	0.046
28035	0.102
28037	0.091
28039	0.038
28041	0.095
28043	0.068
28045	0.031
28047	0.136
28049	0.063
28051	0.106
28053	0.059
28055	0.057
28057	0.032
28059	0.082
28061	0.1
28063	0.047
28065	0.035
28067	0.069
28069	0.068
28071	0.118
28073	0.063
28075	0.085
28077	0.067
28079	0.089
28081	0.066
28083	0.071
28085	0.137
28087	0.114
28089	0.126
28091	0.051
28093	0.087
28095	0.092
28097	0.141
28099	0.037
28101	0.044
28103	0.181
28105	0.126
28107	0.08
28109	0.078
28111	0.043
28113	0.079
28115	0.087
28117	0.058
28119	0.091
28121	0.1
28123	0.068
28125	0.078
28127	0.099
28129	0.073
28131	0.081
28133	0.123
28135	0.11
28137	0.14
28139	0.087
28141	0.07
28143	0.076
28145	0.05
28147	0.132
28149	0.076
28151	0.043
28153	0.136
28155	0.101
28157	0.093
28159	0.092
28161	0.1
28163	0.087
29001	0.07
29003	0.115
29005	0.066
29007	0.124
29009	0.093
29011	0.161
29013	0.107
29015	0.054
29017	0.065
29019	0.08
29021	0.094
29023	0.081
29025	0.055
29027	0.168
29029	0.064
29031	0.036
29033	0.133
29035	0.041
29037	0.063
29039	0.084
29041	0.096
29043	0.138
29045	0.139
29047	0.09
29049	0.082
29051	0.074
29053	0.094
29055	0.061
29057	0.095
29059	0.12
29061	0.054
29063	0.101
29065	0.144
29067	0.11
29069	0.06
29071	0.045
29073	0.093
29075	0.094
29077	0.161
29079	0.092
29081	0.047
29083	0.092
29085	0.058
29087	0.076
29089	0.086
29091	0.083
29093	0.117
29095	0.043
29097	0.065
29099	0.074
29101	0.114
29103	0.085
29105	0.139
29107	0.045
29109	0.028
29111	0.142
29113	0.069
29115	0.121
29117	0.04
29119	0.052
29121	0.038
29123	0.079
29125	0.085
29127	0.077
29129	0.107
29131	0.086
29133	0.167
29135	0.083
29137	0.069
29139	0.069
29141	0.07
29143	0.186
29145	0.133
29147	0.105
29149	0.045
29151	0.2
29153	0.192
29155	0.066
29157	0.084
29159	0.083
29161	0.041
29163	0.05
29165	0.057
29167	0.078
29169	0.118
29171	0.073
29173	0.101
29175	0.1
29177	0.118
29179	0.046
29181	0.184
29183	0.104
29185	0.106
29186	0.075
29187	0.106
29189	0.038
29195	0.112
29197	0.103
29199	0.091
29201	0.057
29203	0.078
29205	0.087
29207	0.13
29209	0.075
29211	0.096
29213	0.036
29215	0.059
29217	0.087
29219	0.093
29221	0.088
29223	0.042
29225	0.096
29227	0.076
29229	0.056
29510	0.081
30001	0.1
30003	0.061
30005	0.075
30007	0.107
30009	0.129
30011	0.083
30013	0.103
30015	0.102
30017	0.087
30019	0.114
30021	0.078
30023	0.128
30025	0.123
30027	0.039
30029	0.069
30031	0.066
30033	0.063
30035	0.096
30037	0.059
30039	0.087
30041	0.091
30043	0.07
30045	0.054
30047	0.088
30049	0.084
30051	0.053
30053	0.103
30055	0.091
30057	0.039
30059	0.045
30061	0.112
30063	0.079
30065	0.086
30067	0.048
30069	0.065
30071	0.146
30073	0.023
30075	0.085
30077	0.093
30079	0.107
30081	0.077
30083	0.074
30085	0.079
30087	0.044
30089	0.099
30091	0.042
30093	0.118
30095	0.07
30097	0.121
30099	0.083
30101	0.138
30103	0.035
30105	0.104
30107	0.103
30109	0.087
30111	0.083
31001	0.074
31003	0.116
31005	0.145
31007	0.192
31009	0.061
31011	0.042
31013	0.125
31015	0.08
31017	0.111
31019	0.074
31021	0.095
31023	0.129
31025	0.078
31027	0.104
31029	0.11
31031	0.04
31033	0.103
31035	0.068
31037	0.058
31039	0.136
31041	0.185
31043	0.082
31045	0.081
31047	0.043
31049	0.084
31051	0.106
31053	0.067
31055	0.087
31057	0.089
31059	0.202
31061	0.061
31063	0.034
31065	0.12
31067	0.037
31069	0.097
31071	0.114
31073	0.074
31075	0.075
31077	0.088
31079	0.046
31081	0.073
31083	0.112
31085	0.054
31087	0.12
31089	0.066
31091	0.087
31093	0.067
31095	0.082
31097	0.094
31099	0.037
31101	0.076
31103	0.044
31105	0.078
31107	0.071
31109	0.153
31111	0.091
31113	0.059
31115	0.081
31117	0.168
31119	0.073
31121	0.16
31123	0.059
31125	0.12
31127	0.081
31129	0.066
31131	0.081
31133	0.069
31135	0.113
31137	0.042
31139	0.058
31141	0.071
31143	0.102
31145	0.073
31147	0.064
31149	0.041
31151	0.068
31153	0.044
31155	0.127
31157	0.039
31159	0.137
31161	0.047
31163	0.107
31165	0.074
31167	0.124
31169	0.033
31171	0.083
31173	0.032
31175	0.08
31177	0.06
31179	0.081
31181	0.049
31183	0.039
31185	0.052
32001	0.045
32003	0.077
32005	0.152
32007	0.062
32009	0.062
32011	0.154
32013	0.013
32015	0.099
32017	0.119
32019	0.082
32021	0.112
32023	0.112
32027	0.094
32029	0.056
32031	0.068
32033	0.072
32510	0.183
33001	0.081
33003	0.072
33005	0.051
33007	0.067
33009	0.116
33011	0.096
33013	0.135
33015	0.109
33017	0.046
33019	0.045
34001	0.035
34003	0.078
34005	0.085
34007	0.081
34009	0.04
34011	0.076
34013	0.077
34015	0.053
34017	0.1
34019	0.101
34021	0.087
34023	0.08
34025	0.079
34027	0.041
34029	0.061
34031	0.078
34033	0.061
34035	0.041
34037	0.111
34039	0.117
34041	0.076
35001	0.072
35003	0.07
35005	0.095
35006	0.101
35007	0.06
35009	0.059
35011	0.139
35013	0.088
35015	0.062
35017	0.103
35019	0.121
35021	0.08
35023	0.032
35025	0.125
35027	0.072
35028	0.135
35029	0.037
35031	0.038
35033	0.101
35035	0.027
35037	0.09
35039	0.14
35041	0.083
35043	0.111
35045	0.074
35047	0.07
35049	0.076
35051	0.172
35053	0.086
35055	0.096
35057	0.147
35059	0.139
35061	0.092
36001	0.073
36003	0.064
36005	0.118
36007	0.13
36009	0.089
36011	0.053
36013	0.176
36015	0.091
36017	0.09
36019	0.117
36021	0.104
36023	0.121
36025	0.052
36027	0.093
36029	0.067
36031	0.084
36033	0.108
36035	0.057
36037	0.027
36039	0.079
36041	0.036
36043	0.106
36045	0.111
36047	0.125
36049	0.135
36051	0.112
36053	0.075
36055	0.08
36057	0.103
36059	0.079
36061	0.101
36063	0.109
36065	0.067
36067	0.128
36069	0.108
36071	0.107
36073	0.086
36075	0.114
36077	0.096
36079	0.038
36081	0.082
36083	0.03
36085	0.092
36087	0.064
36089	0.098
36091	0.042
36093	0.079
36095	0.039
36097	0.037
36099	0.073
36101	0.037
36103	0.064
36105	0.098
36107	0.059
36109	0.078
36111	0.191
36113	0.111
36115	0.043
36117	0.057
36119	0.083
36121	0.06
36123	0.101
37001	0.087
37003	0.132
37005	0.055
37007	0.178
37009	0.087
37011	0.095
37013	0.035
37015	0.186
37017	0.044
37019	0.183
37021	0.099
37023	0.083
37025	0.067
37027	0.048
37029	0.139
37031	0.05
37033	0.082
37035	0.062
37037	0.112
37039	0.094
37041	0.11
37043	0.163
37045	0.085
37047	0.116
37049	0.128
37051	0.078
37053	0.081
37055	0.088
37057	0.106
37059	0.113
37061	0.085
37063	0.116
37065	0.06
37067	0.089
37069	0.062
37071	0.047
37073	0.103
37075	0.085
37077	0.135
37079	0.124
37081	0.079
37083	0.091
37085	0.062
37087	0.031
37089	0.091
37091	0.103
37093	0.15
37095	0.096
37097	0.058
37099	0.034
37101	0.04
37103	0.108
37105	0.155
37107	0.058
37109	0.076
37111	0.095
37113	0.048
37115	0.079
37117	0.025
37119	0.091
37121	0.11
37123	0.06
37125	0.082
37127	0.063
37129	0.06
37131	0.047
37133	0.095
37135	0.078
37137	0.084
37139	0.068
37141	0.088
37143	0.09
37145	0.047
37147	0.149
37149	0.135
37151	0.054
37153	0.051
37155	0.113
37157	0.033
37159	0.118
37161	0.045
37163	0.09
37165	0.067
37167	0.108
37169	0.088
37171	0.076
37173	0.064
37175	0.031
37177	0.046
37179	0.153
37181	0.083
37183	0.072
37185	0.084
37187	0.099
37189	0.098
37191	0.093
37193	0.071
37195	0.14
37197	0.072
37199	0.071
38001	0.112
38003	0.112
38005	0.077
38007	0.136
38009	0.111
38011	0.187
38013	0.148
38015	0.096
38017	0.051
38019	0.086
38021	0.101
